Section Order,Section Name,Section Description,Section Reference,Section Tags,Entry Order,Entry Question,Entry Name,Entry Description,Entry Reference,Entry Tags,Response,Entry Response Type,Response Label,Enum Values,Cell Reference
1,Account-Based Marketing (ABM),,,,1,Account-Based Marketing (ABM),,,,,"<p>Account-based marketing (ABM) is a strategic approach to marketing that revolves around awareness at the account level. Organizations implement an ABM strategy in order target key prospect accounts and to expand business within existing customer accounts&nbsp;to increase their life-time value. By treating each individual account as its' own market, ABM&nbsp;can be targeted accurately and in a personalized manner which provide more relevant engagement with prospects and customers.&nbsp;
</p>
<p>An increasing amount of organizations are&nbsp;adopting an account-based marketing strategy. By using the tools and functionality within the HubSpot platform&nbsp;along with&nbsp;an&nbsp;account-based marketing strategy, customers can align their&nbsp;sales and marketing teams to increase the effectiveness and relevancy of the&nbsp;marketing engagement to their&nbsp;target accounts to offer a more personalized buying experience.
</p>
<p>The following resources provide insight into how HubSpot can be used by organizations implementing an account-based marketing strategy:
</p>
<p><a href=""https://offers.hubspot.com/thank-you/Account-Based-Marketing-and-HubSpot"">Account-Based Marketing & HubSpot webinar</a>
</p>
<p><a href=""https://blog.hubspot.com/customers/using-hubspot-account-based-marketing-strategy"">Using HubSpot For An Account-Based Marketing Strategy [Customer Story]</a>
</p>
<p><a href=""https://blog.hubspot.com/marketing/account-based-marketing-guide#sm.0012f918r13cbfmstk51gi74b9squ"">The Ultimate Guide to Account-Based Marketing: 6 Key Steps</a>
</p>
<p><a href=""https://www.demandbase.com/press-release/siriusdecisions-2016-state-of-abm-study/"">SiriusDecisions 2016 State of ABM Study</a>
</p>
<p><a href=""https://www.slideshare.net/MarsdenAssoc/how-to-utilize-hubspot-for-accountbased-marketing-63106191"">How to Utilize HubSpot for Account-Based Marketing</a>
</p>
<p><a href=""https://wiki.hubspotcentral.net/pages/viewpage.action?pageId=99392780"">All About Account Based Marketing - Wiki Post</a>
</p>
<p>Competitive tools&nbsp;tailored for the Account-based marketing approach:&nbsp;
</p>
<p><a href=""http://www.engagio.com/"">Engagio</a>
</p>
<p><a href=""https://www.marketo.com/newsroom/press-releases/2016-09-13-Marketo-Account-Based-Marketing-Unveiled/"">Marketo&nbsp;Account-Based Marketing Unveiled</a>
</p>
<p><a href=""https://www.demandbase.com/"">DemandBase</a><br>
</p>
<p><a href=""http://www.leandatainc.com/what-we-do"">Lean Data</a><br>
</p>",string,,,
2,Act-On,,,,1,What does Act-on's SFDC integration look like?,,,,,"<p>Ever wonder what the Act-on integration looks like from within SFDC? Here's a screen shot provided by one of my prospects that was very disappointed in their integration, but LOVED ours!</p>
<p><img src=""/asset/110445?token=7eWKPvi%2Bi0PfBpVhAkYKkUAXO4IBErqPEfb6yCS2rFA%3D""><img src=""/asset/148940?token=lQOF%2BsWy3KiSTE2LJtk1510m2etypEWfp2%2FdhTRc97U%3D""></p>
<p>Act-on's intelligence section doesn't look as intelligent as ours...</p>",string,,,
3,Bronto,,,,1,Bronto Demo,,,,,"<p>Here is the link to a demo of Bronto a customer has shared with us. This is <strong>very confidential</strong>, so please do not share it with externally</p><p></p><p><a title="""" href=""https://hubspot.zoom.us/recording/play/2h7tfGB6UsfiC5cB7h8kTycM1VUMZygaSoQGqiSH7vCX6ZMUDjgJeqnHXNfmGAcv?continueMode=true"">Bronto Demo</a></p>",string,,,
4,ClickDimensions,,,,1,Everything to know about ClickDimensions,,,,,"<p>Information provided by Craig Ellis&nbsp;
</p>
<ul>
	<li>Marketing Automation tool is built specifically for Microsoft Dynamics CRM</li>
	<li>Small company - only 106 Employees - which means slow product innovation, subpar Support / training / knowledge base in comparison to HubSpot</li>
	<li>Only 2327 sites indexed using ClickDimensions (<a class=""external-link"" href=""http://t.sidekickopen03.com/e1t/c/5/f18dQhb0S7lC8dDMPbW2n0x6l2B9nMJN7t5XZsRYrBCW8rls1W4Xy-5CW3Mqkws56dxz8f5WRsds02?si=X-SIG-APPLE-NOKEY&pi=FFA6301F-5C26-4B0A-8C00-0E8C44726388&t=https%3A%2F%2Fwww%2Edatanyze%2Ecom%2Ftechnologies%2F%3Fid%5Ftechnology%3D1116"">https://www.datanyze.com/technologies/?id_technology=1116</a>) smaller community to lean on for help & best practices</li>
	<li>Their&nbsp;<a class=""external-link"" href=""http://t.sidekickopen03.com/e1t/c/5/f18dQhb0S7lC8dDMPbW2n0x6l2B9nMJN7t5XZsRYrBCW8rls1W4Xy-5CW3Mqkws56dxz8f5WRsds02?si=X-SIG-APPLE-NOKEY&pi=FFA6301F-5C26-4B0A-8C00-0E8C44726388&t=http%3A%2F%2Fclickdimensions%2Ecom%2Ffeatures%2F%23nurture%2Dmarketing"">Nurture Marketing</a>&nbsp;is literally an exact replica of the Pardot Drip Campaign - it’s extremely limiting in that you can only branch on Email Open or Email Click
	<ul>
		<li>HubSpot Workflows are much more robust</li>
	</ul></li>
	<li>Pricing is based on number of Emails Sent per year - not number of contacts</li>
	<li>Very little focus on TOFU</li>
	<li>Customer will still need to Frankenspot</li>
	<li>No SEO Tools</li>
	<li>No Social Media Publishing or Monitoring Tools</li>
	<li>No CMS or Blog capabilities built in</li>
	<li>We win in the ease of use department hands down (Easy Initiative)</li>
	<li>Creating beautiful, responsive Emails & LPs is simple in HubSpot - need HTML expertise</li>
	<li>Big benefit: it is Natively Built Into Microsoft Dynamics CRM - which eliminates the need to sync data between databases</li>
</ul>
<blockquote>""Click Dimensions adds marketing automation to Dynamics CRM, which causes the system to become bloated and slow. Dynamics isn't designed to store vast amounts of email tracking, website tracking, website forms, etc. It's much cheaper than HubSpot because it offloads so much of the technology, storage, etc. in CRM, while supplementing it with some cloud systems (like sending emails). I'll admit I don't have first-hand experience with Click Dimensions, but I have worked with clients that switched from it to HubSpot. Slowness and complexity to do simple tasks are the top complaints I've heard about clickdimensions, while the low cost is usually what keeps people using it.&nbsp;<br>They'll get better marketing features with HubSpot while using Dynamics for what it does best. ""<br>-via&nbsp;Daniel Lynton, Diamond Partner
</blockquote>",string,,,
5,Eloqua,,,,,,,,,,,,,,
6,Google Analytics,,,,1,How do I position Google Analytics versus Hubspot Analytics?,,,,reporting,"<p><strong>Overview</strong></p>
<p>Google Analytics is a web analytics platform used to optimize websites. Its features overlap directly with&nbsp;the <a href=""https://knowledge.hubspot.com/sources-user-guide-v2/how-to-use-sources-report-to-measure-your-marketing-campaigns"">Sources Report</a>, <a href=""https://www.hubspot.com/product-updates/web-analytics-dashboard"">Web Analytics Dashboard</a>, <a href=""https://app.hubspot.com/analytics/1976760/tools"">Traffic Analytics</a>,&nbsp;<a href=""https://www.hubspot.com/products/marketing/ads"">Ads Add-on</a>, and the&nbsp;<a href=""https://www.hubspot.com/products/marketing/reporting-add-on"">Reporting Ad-On</a>.&nbsp;</p>
<p>Google Analytics provides anonymous data on visitors. This means you can see what a segment of visitors - males, living in Texas, between the ages of 25-29 - are doing on your website but you cannot see WHO specifically is visiting.&nbsp;</p>
<p>HubSpot enables you to drill into who is taking actions on your site.&nbsp;</p>
<p><strong>Why does this matter?&nbsp;</strong></p>
<p>Understanding who is taking actions gives HubSpot two advantages over Google Analytics:</p>
<ul>
<li>Market to prospects in a more personal way increasing lead to MQL conversions</li>
<li>Better understand the ROI of their ads, website, and digital content efforts in a B2B environment to increase visitor to lead conversion rate</li>
</ul>
<p><strong>Does HubSpot replace Google Analytics?</strong></p>
<p>It depends on who you are talking to.</p>
<p>HubSpot offers significant value to marketers. However, Google Analytics in invaluable in optimizing certain aspects of a company's top of the funnel efforts.&nbsp;</p>
<p>If you are dealing with a sophisticated team with multiple marketers that has a Full Time Headcount allocated to the website you should position HubSpot as complementary to Google Analytics.</p>
<p>If you are dealing with a lean team who's core competency is not web design you could position HubSpot as a replacement to google analytics.&nbsp;</p>
<p>Things to remember about Google Analytics:</p>
<ul>
<li><strong>Googles Knows Everything</strong>: Google does not need you to convert on a <a href=""https://support.google.com/analytics/answer/2799357?hl=en"">form to understand your age, zip code, or gender</a>. This enables web teams to dig into their anonymous web traffic data based on segmented list. Below is an example Google Analytics report similar to a HubSpot sources report but segmented by City:<img src=""/asset/141514?token=xl%2F%2FSXyDgVfkfY4nK6ZarYBI13LCwQ7K6gpwaacxi5o%3D"" width=""728"" height=""1031""></li>
<li><strong>Focus gives Depth:</strong>&nbsp;Focusing solely on web analytics allows Google Analytics to offer a deeper set of features than HubSpot provides in the Web Analytics space. These features enable web teams to optimize site in ways HubSpot cannot. For instance, Google Analytics enables you to determine bounce rate by geography (you cannot do in this in HubSpot). Perhaps you UK customers are bouncing at a higher rate than your US. Google Analytics let you further dig into data to understand why. You could for instance look at how Geography and Screen Resolution impact bounce rate:<img src=""/asset/141518?token=G7R2sfjP%2FJTI3Wu0h1hTDD1YljpDcFnYwi%2FT3MxkfjU%3D"" width=""873"" height=""1236""></li>
<li><strong>Google Provides a Better Persona Based Understanding of Anonymous Traffic:&nbsp;</strong>Yes, thats is correct. Google lets you define personas for anonymous traffic via <a href=""https://support.google.com/analytics/answer/2611404?hl=en"">audiences</a> and understand what content on your site they are engaging with. HubSpot cannot due this. At HubSpot we use google analytics to break out specific personas and understand what content Markets are most engaged with versus Sales People.&nbsp;</li>
<li><strong>Not Necessarily User Friendly:</strong>&nbsp;While HubSpot takes 5 minutes to set up - just put the tracking code on - Google Analytics will take some customization. It can due just about anything but requires configuration and potentially custom coding. A lean team will see this as bad while a large team that has someone dedicated full time to web analytics will see this as an advantage.&nbsp;</li>
</ul>
<p>If you are dealing with more advanced marketers these&nbsp;points will be important to them. As such, you should position HubSpot as complementary to Google Analytics. We will create a more personal marketing experience for prospects by removing the anonymous data.</p>
<p>If you are dealing with smaller less sophisticated teams, you may want to position HubSpot as a simpler tool that will get them actionable useful data.&nbsp;</p>
<p>Source: Josh Brown</p>",string,,,
7,Hootsuite,,,,1,Can Hootsuite publish to Instagram?,,,,pricing--packaging/marketing-pro,"<p><strong>Short Answer:</strong> yes, with some caveats.</p>
<p><strong>What's the deal with Instagram publishing?&nbsp;</strong></p>
<p>Instagram has a closed API, meaning they do not allow third party&nbsp;publishing. This is true even for Hootsuite.</p>
<p><strong>How does Hootsuite integrate with Instagram if Instagram has a closed API?</strong></p>
<p>Hootsuite does have some features that they package as a solution to this issue, which makes it easy for marketers to plan out their posts in the Hootsuite mobile app and redirects them to the Instagram app when they are ready to publish.&nbsp;</p>
<p>Although Hootsuite markets this as a full publishing integration, it is still a workaround to accommodate Instagram's closed API and it is still true that no third party tools can publish to Instagram directly.</p>
<p>Source: <a href=""https://hootsuite.com/resources/hoot-tip/how-to-add-instagram-to-your-hootsuite-dashboard"">Hootsuite Documentation</a></p>
<p>also&nbsp;<a href=""https://hootsuite.com/instagram"">https://hootsuite.com/instagram</a></p>",string,,,
8,Falcon,,,,1,Comparison between HubSpot vs Falcon,,,,,"<p>This comparison document is created by a customer.</p>
<p><a href=""/asset/oGLz1UmmufWnJbFZoUB42m?token=6h5QYk03bcMs3smqRi82JAF6jATEgCZ9U291HTepE7k%3D"">Falcon v Hubspot Analysis.pdf</a></p>",string,,,
9,Infusionsoft,,,,1,"What are the differences between HubSpot's integration with SFDC, and Infusionsoft's integration with SFDC?",,,,,"<p>HubSpot has a native integration with Salesforce, meaning it was created and is currently maintained in-house by a team of expert developers. Because this integration was built by HubSpot, 24/7 unmetered support is offered to customers utilizing the integration. Additionally, HubSpot's connector to Salesforce offers a bi-directional sync which ensures information updated in one system will automatically update the other. HubSpot does not charge an additional cost for the integration.</p>
<p>Infusionsoft does not currently offer a native integration with Salesforce. The only documented integrations online are through Zapier and Workato (<a href=""https://zapier.com/zapbook/infusionsoft/salesforce/"">https://zapier.com/zapbook/infusionsoft/salesforce/ </a>&nbsp;| <a href=""https://www.workato.com/integrations/infusionsoft+salesforce"">https://www.workato.com/integrations/infusionsoft+salesforce</a>), which would limit the support available. Integrations through Zapier are also not bi-directional, so limitations may apply as it relates to the data being mapped from one system to the other. This integration would also require an account with Zapier, which could incur additional&nbsp;cost.</p>",string,,,
10,Marketo,,,,1,How to handle common HubSpot objections from Marketo,,,,,"<p>This <a href=""https://docs.google.com/document/d/1ybHPiDasUdL1emQBT1QVwY6ZGSeieM6_fxOZt8EJ2fs/edit"">Google doc</a> provides rebuttals against common HubSpot ""weaknesses"" against Marketo including:
</p>
<ul>
	<li>Scalability</li>
	<li>Deliverability</li>
	<li>Unreliable system</li>
	<li>Inability to cross-sell/upsell</li>
	<li>Reporting on revenue, multi-touch, sales effectiveness</li>
	<li>Enablement</li>
	<li>Support</li>
	<li>Workflow / Automation&nbsp;</li>
</ul>
<p>This is for&nbsp;<strong>internal use only</strong>&nbsp;right now, so please use good judgement when referencing or referring to it. Kyle McKay is the owner and I've enabled it for comments so we can comment on specific parts if you have something to add.
</p>
<p><a href=""https://docs.google.com/document/d/1ybHPiDasUdL1emQBT1QVwY6ZGSeieM6_fxOZt8EJ2fs/edit"">Google doc</a>
</p>",string,,,
