Section Order,Section Name,Section Description,Section Reference,Section Tags,Entry Order,Entry Question,Entry Name,Entry Description,Entry Reference,Entry Tags,Response,Entry Response Type,Response Label,Enum Values,Cell Reference
1,Canonical URLs,,,,1,Set Default Behavior of Canonical URLs within One Settings,,,,,"<p dir=""ltr""><strong><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">What is it?</span></strong></p>
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">Within One Settings, there is now a new setting where users can set a portal default for the behavior of the canonical URLS for their web pages, blog posts, and now their blog listing pages.</span></p>
<p>&nbsp;</p>
<p dir=""ltr""><strong><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">Why does it matter?</span></strong></p>
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">Last month, we gave customers the ability to edit the canonical URLs of their content at the page level. This was all done to give users more control over their site structure, and SEO strategy. Today&rsquo;s update allows users to set a portal default so they do not have to worry about the canonical URL of every page. We&rsquo;ve also given users even more control over their site structure by allowing them to set their blog listing pages canonical URLs to either the first page in its series, or remain blank by default. </span></p>
<p><strong style=""color: #222222 ; background-color: #ffffff ; font-size: 13px"">&nbsp;</strong></p>
<p dir=""ltr""><strong><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">How does it work?</span></strong></p>
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">Within Settings, navigate to </span><a style=""color: #6611cc ; text-decoration: none"" href=""https://app.hubspot.com/l/settings/marketing/web-pages/all-domains/page-templates""><span style=""color: #1155cc ; background-color: transparent ; font-size: 11pt ; text-decoration: underline"">Web Pages>Page Templates</span></a><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">. Here, you&rsquo;ll see the following setting options, allowing you to set portal defaults for the canonical URLs of your pages and blog posts, as well as your blog listing pages.</span></p>
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none""><img src=""https://lh6.googleusercontent.com/-KzULpsmv8pLQWSiIkyB3lo-jxsCpGcQPdZJFcg4hLjgRLCqMK3XY3GK9WrWWECvwl6J8RgE8dgi0aebGw_NS0Qq_Xu6rFh2exVkSRI9c05akTgJ6R_BZpNVwBFFg5KuVcWXkVjj"" width=""624"" height=""301""></span></p>
<p><strong style=""color: #222222 ; background-color: #ffffff ; font-size: 13px"">&nbsp;</strong></p>
<p dir=""ltr""><strong><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">So what specific behavior has changed?</span></strong></p>
<p><strong style=""color: #222222 ; background-color: #ffffff ; font-size: 13px"">&nbsp;</strong></p>
<p dir=""ltr""><strong><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">Website Pages, Landing Pages and Blog Post URLs</span></strong></p>
<ul>
<li dir=""ltr"" style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">Site Pages and Blog Post URLs will be set to self-canonicalize by default</span></p>
</li>
<li dir=""ltr"" style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">If a page or post&rsquo;s canonical URL is custom (not self-canonicalized or set to null) it will maintain the customized canonical URL after this change.</span></p>
</li>
<li dir=""ltr"" style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">This portal default setting can be overwritten at the individual page or post level</span></p>
</li>
</ul>
<p dir=""ltr""><strong><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">Blog Listing Pages</span></strong></p>
<ul>
<li dir=""ltr"" style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">Blog listing pages will be set to null by default</span></p>
</li>
<li dir=""ltr"" style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">The blog listing page canonical URL can either be set to null, or set to the first page in its series. It can not be customized.</span></p>
</li>
<li dir=""ltr"" style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">If you have multiple blogs, either all your blog listing pages are self-canonicalized, or they are all set to null.</span></p>
</li>
</ul>
<p><strong style=""color: #222222 ; background-color: #ffffff ; font-size: 13px"">&nbsp;</strong></p>
<p dir=""ltr""><strong><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">Who gets it?</span></strong></p>
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">This is now live within all Marketing Basic, Professional, and Enterprise Portals.</span></p>
<p><strong style=""color: #222222 ; background-color: #ffffff ; font-size: 13px"">&nbsp;</strong></p>
<p dir=""ltr""><strong><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">Sharing the news with customers.</span></strong></p>
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">Feel free to share this </span><a style=""color: #6611cc ; text-decoration: none"" href=""https://www.hubspot.com/product-updates/edit-the-canonical-url-of-a-page""><span style=""color: #1155cc ; background-color: transparent ; font-size: 11pt ; text-decoration: underline"">external blog post</span></a><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none""> with any interested customers.</span></p>
<p><strong style=""color: #222222 ; background-color: #ffffff ; font-size: 13px"">&nbsp;</strong></p>
<p dir=""ltr""><strong><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">What language is it in?</span></strong></p>
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">All languages supported by HubSpot.</span></p>
<p>&nbsp;</p>
<p>Source: Product Notifications</p>",string,,,
1,Canonical URLs,,,,2,Changes to Default Behavior of Canonical URLs,,,,,"<p dir=""ltr"" style=""color: #222222 ; background-color: #ffffff ; font-size: 13px""><strong><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt"">What is it?</span></strong></p>
<p dir=""ltr"" style=""color: #222222 ; background-color: #ffffff ; font-size: 13px""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt"">On January 8, 2018, we will be changing how HubSpot handles individual landing page, web page, and blog post canonical URLs by default. Going forward, we will no longer set a URL to self-canonicalize. Instead, there will be no canonical URL set, and customers will have the ability to edit the canonical URL of any blog post, landing page, or web page.</span></p>
<p>&nbsp;</p>
<p dir=""ltr"" style=""color: #222222 ; background-color: #ffffff ; font-size: 13px""><strong><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt"">Why is it important?</span></strong></p>
<p dir=""ltr"" style=""color: #222222 ; background-color: #ffffff ; font-size: 13px""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt"">A canonical URL is an HTML element used by search engines to handle duplicate content. Let&rsquo;s say you have similar content on two different pages of your website. As Google crawls these pages, it will recognize the similarity of these pages, and your page SEO may take a hit as a result. A canonical URL tells search engines which piece of content is the preferred version, and prevents your site from being penalized for duplicate content. HubSpot previously defaulted to setting the Canonical URL of any page to itself. As Google and other search engines have gotten more sophisticated, self-canonicalizing a URL has become an outdated tactic. Today&rsquo;s update allows users to manually edit the canonical URL of their pages, giving them more control over their site structure and SEO performance. &nbsp;&nbsp;</span></p>
<p>&nbsp;</p>
<p dir=""ltr"" style=""color: #222222 ; background-color: #ffffff ; font-size: 13px""><strong><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt"">How it works</span></strong></p>
<p dir=""ltr"" style=""color: #222222 ; background-color: #ffffff ; font-size: 13px""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt"">When creating a blog post, landing page, or web page, click over to the Page Editor Settings tab. Under &lsquo;Advanced Options,&rsquo; you&rsquo;ll now see a new field that will allow you to set a customizable canonical URL for this page.</span></p>
<p dir=""ltr"" style=""color: #222222 ; background-color: #ffffff ; font-size: 13px""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt""><img src=""https://lh4.googleusercontent.com/2ZyJtShrfT0f4q_vwgGz5YM9Z8poWPBL5wR70uAwIyu75-_fgCM_n9DtXK7DCYA4erxUNmkiFDIy8xWGyBgXQoVhVNAUpkk_sdp4mY-gNzuLmsRs2pOMa3uLWcT7a_Hrkb0yc11c"" width=""624"" height=""287""></span></p>
<p>&nbsp;</p>
<p dir=""ltr"" style=""color: #222222 ; background-color: #ffffff ; font-size: 13px""><strong><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt"">Some things that are important to note:</span></strong></p>
<ul style=""color: #222222 ; background-color: #ffffff ; font-size: 13px"">
<li dir=""ltr"" style=""color: #000000 ; background-color: transparent ; font-size: 11pt"">
<p dir=""ltr""><span style=""background-color: transparent ; font-size: 11pt"">All content created before January 8th will still retain the self-canonical URL. If a user clicks into this field it will be editable.</span></p>
</li>
<li dir=""ltr"" style=""color: #000000 ; background-color: transparent ; font-size: 11pt"">
<p dir=""ltr""><span style=""background-color: transparent ; font-size: 11pt"">All new content created after this release will have a blank value for canonical URL.</span></p>
</li>
<li dir=""ltr"" style=""color: #000000 ; background-color: transparent ; font-size: 11pt"">
<p dir=""ltr""><span style=""background-color: transparent ; font-size: 11pt"">The ability to edit the canonical URL of a blog </span><span style=""background-color: transparent ; font-size: 11pt"">listing</span><span style=""background-color: transparent ; font-size: 11pt""> page is still in the works (stay tuned!)</span></p>
</li>
</ul>
<p>&nbsp;</p>
<p dir=""ltr"" style=""color: #222222 ; background-color: #ffffff ; font-size: 13px""><strong><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt"">Who gets it?</span></strong></p>
<p dir=""ltr"" style=""color: #222222 ; background-color: #ffffff ; font-size: 13px""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt"">This change will go to all Marketing Basic, Professional, and Enterprise portals when the blog editor settings are Canvased on January 8th, 2018.</span></p>
<p>&nbsp;</p>
<p dir=""ltr"" style=""color: #222222 ; background-color: #ffffff ; font-size: 13px""><strong><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt"">What language is this available in?</span></strong></p>
<p dir=""ltr"" style=""color: #222222 ; background-color: #ffffff ; font-size: 13px""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt"">All languages supported by HubSpot</span></p>
<p dir=""ltr"" style=""color: #222222 ; background-color: #ffffff ; font-size: 13px"">&nbsp;</p>
<p dir=""ltr"" style=""color: #222222 ; background-color: #ffffff ; font-size: 13px""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt"">Source: Product Notification</span></p>",string,,,
2,Dedicated IP,,,,1,How many emails should a customer with Dedicated IP be sending?,,,,,"<p>We usually recommend at least 25k a month but we have had customers be successful on less in specific industries like finance or education where filters are stricter so the dedicated IP helps.</p>
<p><span style=""color: #212121 ; font-size: 13px"">Anything under 2 million/month can be sustained easily on a single dedicated IP address. We qualify this requirement during implementation because the cost</span><span style=""color: #212121 ; font-size: 13px"">&nbsp;</span><span style=""color: #212121 ; font-size: 13px"">is no different regardless of volume, we assign the appropriate number of IPs to support their email.</span></p>
<p><span style=""color: #212121 ; font-size: 13px""><span style=""background-color: #ffffff"">The reason for the increase in volume per IP (2 mil vs 500k) is related to the finite nature of ipv4 space, we've found that deliverability is not impacted by sending that volume of marketing email from a single IP and its a better consolidation of reputation on the single IP. We've also found its easier to bounce back from any temporary deliverability problems with more consolidated traffic.</span></span></p>
<p>Additional Resources: <a href=""https://wiki.hubspotcentral.com/pages/viewpage.action?spaceKey=emaildeliverability&title=How+to+Sell+Dedicated+IPs"">How to Sell Dedicated IPs</a></p>
<p>Source: Amanda MacDonald / Evan Murphy from Email Deliverability</p>",string,,,
2,Dedicated IP,,,,2,Warm up process for dedicated IP for sending emails,,,,,"<p>The warm up process takes 1 month however we can warm up the IP address automatically by splitting their traffic between their dedicated IP address and the shared system for the first 30 days so the customer does not need to do any manual work everything will happen behind the scenes. Using an algorithm we can send the highest engaged mail from their dedicated IP to warm up the IP address and establish a sending reputation, while the remainder of the traffic is sent from the shared system.&nbsp;</p>
<p>Note: We can not use customer's current IP. It has to be from our pool of dedicated IPs.</p>
<p>&nbsp;</p>
<p>Source: <a href=""https://wiki.hubspotcentral.net/display/emaildeliverability/How+to+Sell+Dedicated+IPs?preview=%2F39093429%2F82575522%2FDedicated+IP.pdf"">Wiki</a></p>",string,,,
2,Dedicated IP,,,,3,When is a dedicated IP address required? ,,,,,"<p>Typically, a dedicated IP address is an&nbsp;<a href=""https://www.hubspot.com/products/email/dedicated-ip"">option for customers</a>&nbsp;that need control over their individual sender score. However, if the customer would like to send&nbsp;<a href=""https://www.hubspot.com/products/email/transactional-email"">Transactional Emails</a><strong>with HubSpot they are required to purchase a Dedicated IP address from us. This cost $500 per month. Sending Transactional Emails is the only use case that requires a dedicated ip address.&nbsp;</strong>
</p>
<p><span></span><br>
</p>",string,,,
2,Dedicated IP,,,,4,When customers send emails using Hubspot are they sent from a dedicated or shared server? ,,,,se-ramp-up/block-2,"<p>By default, emails sent through Hubspot are sent on a shared server. This is typically beneficial for customers as our Hubspot sender's score is in the high 90s. There are two specific use cases for customers to use Hubspot to send form a dedicated email server.&nbsp;
</p>
<ol>
	<li>Transactional Emails - The customer wants to use Hubspot to send transactional emails.</li>
	<li>High Volume of Marketing Emails - The customer is sending more than 25,000 marketing emails per month.</li>
</ol>
<p>Both use cases require qualification by an SE. To learn more about them check out the OMBUD post on these topics.&nbsp;
</p>
<p>Sources:&nbsp;
</p>
<p><a href=""https://knowledge.hubspot.com/email-user-guide-v2/understanding-email-deliverability"">Understanding Email Deliverability</a>&nbsp;
</p>
<p><a href=""https://www.hubspot.com/products/email/dedicated-ip"">Dedicated IP</a>
</p>",string,,,
2,Dedicated IP,,,,5,"When someone buys transactional email, do all of their emails get sent through the dedicated IP or just the transactional?",,,,,"<p>Just the transactional emails get sent through the dedicated IP. If you want a dedicated IP for your normal marketing emails you need to buy another dedicated IP.
</p>
<p><br>
</p>
<p>Source:&nbsp;<a href=""https://hubspot.slack.com/archives/G0CNQJLPL/p1494955626009121"">Slack</a>
</p>",string,,,
2,Dedicated IP,,,,6,Can I send a Transactional Email without adding a contact to HubSpot?,,,,,"<p>Yes, you would need to use the SMTP API to do this. Creating a contact is optional when using this API.&nbsp;
</p>
<p><strong>Use Case: </strong>If you are sending a confirmation email from a separate&nbsp;transactional email system and want to track email performance but do not want to add a contact to HubSpot. In this case you would use the SMTP API.<br>
</p>
<p><strong>Source:</strong>&nbsp;<a href=""https://developers.hubspot.com/docs/methods/email/transactional_email"">https://developers.hubspot.com/docs/methods/email/transactional_email</a>
</p>",string,,,
2,Dedicated IP,,,,7,Do we have experience doing IP Warming in China?,,,,,"<p>Answer from Dave O'Sullivan on the Email Deliverability Team:</p>
<p>&nbsp;</p>
<blockquote><span style=""font-size: 14px"">To answer your question no, we haven't.<br>Frankly delivery into China is a very specialised and difficult subject. Typically Chinese inbox providers do not want to see connections from non Chinese IPs, so we can see heavy throttling and some pretty poor results overall, and what can be a pretty frustrating experience for the customer.&nbsp;<br>Basically we, like most western ESPs are not going to do well trying to deliver to China, and if that's the customers main goal it would mean we are potentially not a great fit for their strategy.</span></blockquote>
<blockquote><span style=""font-size: 14px"">Source: Internal Conversation (Dave O'Sullivan)</span></blockquote>",string,,,
2,Dedicated IP,,,,8,Can a Customer transfer an existing dedicated IP from Marketing to Transactional Email?,,,,,"<p>Q. If a customer has 1 dedicated IP. If they wanted to buy transactional email, and they were happy to stop using their dedicated IP for Marketing emails, could they use their existing dedicated IP for transactional email?&nbsp;
</p>
<p>A. In theory yes but&nbsp;probably not ideal as we want the IP to have a clear transactional identity to inbox providers. No technical limit so if someone really pushed we could likely do so,&nbsp;assuming they where using our own MTA versus sendgrid etc..
</p>
<p><br>
</p>
<p>Source: Slack Conversation with David O'Sullivan
</p>",string,,,
