Section Order,Section Name,Section Description,Section Reference,Section Tags,Entry Order,Entry Question,Entry Name,Entry Description,Entry Reference,Entry Tags,Response,Entry Response Type,Response Label,Enum Values,Cell Reference
1,Products,,,,1,Customize Your Product Offers with Increased Product Pricing Flexibility,,,,,"<p dir=""ltr""><strong><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">What is it?</span></strong><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none""><br class=""m_3861921580689155628gmail-kix-line-break""><br class=""m_3861921580689155628gmail-kix-line-break""></span></p>
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">Now live in HubSpot are three new features designed to give you more control over the pricing packages you offer to your customers. That means you now have more flexibility to create a product library that fits your business.</span></p>
<p><strong style=""color: #222222 ; background-color: #ffffff ; font-size: 12.8px"">&nbsp;</strong></p>
<p dir=""ltr""><strong><span style=""color: #000000 ; background-color: transparent ; font-size: 12pt ; text-decoration: none"">1. Cost Per Unit and Margin</span></strong></p>
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">Making a sale is great, but with the costs of running a business, do you ever find yourself wondering, &ldquo;how much money did I </span><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">actually</span><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none""> just make?&rdquo; With today&rsquo;s update, you now have a clear answer. Simply enter your cost per unit, and HubSpot calculates the margin for you based on everything you sell. That means you know with each sale exactly how much money is going into your pocket.</span></p>
<p><strong style=""color: #222222 ; background-color: #ffffff ; font-size: 12.8px"">&nbsp;</strong></p>
<p dir=""ltr""><strong><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">How does it work?</span></strong></p>
<ul>
<li dir=""ltr"" style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">Go to your </span><a style=""color: #1155cc ; text-decoration: none"" href=""http://t.sidekickopen05.com/e1t/c/5/f18dQhb0S7lM8dDMPbW2n0x6l2B9nMJN7t5X-FdSD1CW7fcr6g4XyJl4V1h1m035Ywz0103?t=https%3A%2F%2Fapp.hubspot.com%2Fl%2Fsettings%2Fsales%2Fproducts&si=7000000000322319&pi=eeb1297a-0823-4e84-f3b9-63d1991f50d2""><span style=""color: #1155cc ; background-color: transparent ; font-size: 11pt ; text-decoration: underline"">products settings</span></a></p>
</li>
<li dir=""ltr"" style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">Hit &ldquo;Edit&rdquo; on the product</span></p>
</li>
<li dir=""ltr"" style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">In &ldquo;Cost Per Unit&rdquo; field, enter the cost per unit</span></p>
</li>
<li dir=""ltr"" style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">See the calculated margin on the deal</span></p>
</li>
</ul>
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 12pt ; text-decoration: none""><br class=""m_3861921580689155628gmail-kix-line-break""></span><span style=""color: #000000 ; background-color: transparent ; font-size: 12pt ; text-decoration: none""><img class=""CToWUd a6T"" src=""https://lh4.googleusercontent.com/kd_TPAdc-mmIq7EYpRDgQUithMyMRYNMFliEgfgS8kTUhocbbYL-8nFrA9h7kBnjhp2nNYMcK0Ss2LJAyJTzWBIOUPIR1TRiVRkwbhzTQBlbvKD3JM0pzIfpQX6rH9gMopd8W9iZ"" width=""624"" height=""227""></span></p>
<p><strong style=""color: #222222 ; background-color: #ffffff ; font-size: 12.8px"">&nbsp;</strong></p>
<p dir=""ltr""><strong><span style=""color: #000000 ; background-color: transparent ; font-size: 12pt ; text-decoration: none"">2. Discount by Percentage</span></strong></p>
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">Many companies run new customer promotions - &ldquo;For your first purchase, get 20% off our product!&rdquo; Previously in HubSpot, there was not a simple way to store this pricing pattern in your Products or Deals. Now, you can.</span></p>
<p><strong style=""color: #222222 ; background-color: #ffffff ; font-size: 12.8px"">&nbsp;</strong></p>
<p dir=""ltr""><strong><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">How does it work?</span></strong></p>
<ul>
<li dir=""ltr"" style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">Go to a deal and select the product you want to discount</span></p>
</li>
<li dir=""ltr"" style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">Hit &ldquo;Edit&rdquo; on the product</span></p>
</li>
<li dir=""ltr"" style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">At the &ldquo;Discount&rdquo; field, change the dropdown to &ldquo;%&rdquo; and enter your desired discount</span></p>
</li>
</ul>
<p><strong style=""color: #222222 ; background-color: #ffffff ; font-size: 12.8px"">&nbsp;</strong></p>
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none""><img class=""CToWUd a6T"" src=""https://lh5.googleusercontent.com/-JDPcd71-4nzb56_pV_cb6LsYxoEoQIRhCbHvjcDkMme7NSYWJAf7rR8Xq5p1U1mUCV0qfXz1MZkhQd_qBzIYlkHs6Apvt-UblPkXHi46q-kxfMUD0jOc7lkYnkr7H-b7BhYgpho"" width=""384"" height=""424""></span></p>
<p><strong style=""color: #222222 ; background-color: #ffffff ; font-size: 12.8px"">&nbsp;</strong></p>
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none""><br class=""m_3861921580689155628gmail-kix-line-break""></span><strong><span style=""color: #000000 ; background-color: transparent ; font-size: 12pt ; text-decoration: none"">3. Add a Term</span></strong></p>
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">When setting up a contract, you now have the ability to add terms. That means you can offer your customers a product or service on a monthly recurring basis for a year, two years - or whatever suits your product pricing needs.</span><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none""><br class=""m_3861921580689155628gmail-kix-line-break""><br class=""m_3861921580689155628gmail-kix-line-break""></span></p>
<p dir=""ltr""><strong><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">How does it work?</span></strong></p>
<ul>
<li dir=""ltr"" style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">Go to your </span><a style=""color: #1155cc ; text-decoration: none"" href=""http://t.sidekickopen05.com/e1t/c/5/f18dQhb0S7lM8dDMPbW2n0x6l2B9nMJN7t5X-FdSD1CW7fcr6g4XyJl4V1h1m035Ywz0103?t=https%3A%2F%2Fapp.hubspot.com%2Fl%2Fsettings%2Fsales%2Fproducts&si=7000000000322319&pi=eeb1297a-0823-4e84-f3b9-63d1991f50d2""><span style=""color: #1155cc ; background-color: transparent ; font-size: 11pt ; text-decoration: underline"">products settings</span></a></p>
</li>
<li dir=""ltr"" style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">Hit &ldquo;Edit&rdquo; on the product</span></p>
</li>
<li dir=""ltr"" style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">At the &ldquo;Term&rdquo; field, change the dropdown to month or year and enter the length of term</span></p>
</li>
</ul>
<p><strong style=""color: #222222 ; background-color: #ffffff ; font-size: 12.8px""><br><br></strong></p>
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none""><img class=""CToWUd a6T"" src=""https://lh4.googleusercontent.com/zkpZO2bPAfvuj1lrzaGGYHLS_L2Z4MHKPTSzPj0c_W4Ev5lKWNqQS36qw1fidngMREsReiqKs2JEpMO4UJ30i44WAfonhBq_KB8pWwzz8IFOGI8xK-LPApIXWsw1sZfrFbYD3kMK"" width=""456"" height=""657""></span></p>
<p><strong style=""color: #222222 ; background-color: #ffffff ; font-size: 12.8px"">&nbsp;</strong></p>
<p dir=""ltr""><strong><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">Who gets it?</span><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none""><br class=""m_3861921580689155628gmail-kix-line-break""></span></strong><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">These updates are now live and available to all HubSpot Sales Professional users.</span><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none""><br class=""m_3861921580689155628gmail-kix-line-break""></span><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none""><br class=""m_3861921580689155628gmail-kix-line-break""></span><strong><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">Languages?</span><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none""><br class=""m_3861921580689155628gmail-kix-line-break""></span></strong><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">Available in all languages supported by HubSpot</span></p>
<p dir=""ltr"">&nbsp;</p>
<p dir=""ltr""><span style=""color: #000000 ; background-color: transparent ; font-size: 11pt ; text-decoration: none"">Source: Product Notifications</span></p>
<p>&nbsp;</p>",string,,,
1,Products,,,,2,"If there are Sales Pro and Sales Free users in an account, can Sales Free users see Products",,,,,"<p>Answer: The product library comes as part of Sales Pro, but only users assigned to the Sales Pro seats have access to edit the library and product listings. You also will not be able to add products to deal records, but you will be able to see the products on the deal record. </p><p> </p><p>Source: Rosy Mongeau and Hannah Roberts - Support-Sales-Opport Slack Channel</p>",string,,,
1,Products,,,,3,What happens to unfilled Sales seat licenses at contract renewal? ,,,,,"<p>If a customer has purchased Sales seat licenses that have not been filled by contract renewal, the seats will come off their account at renewal.  The customer can keep their seats by entering a dummy email into their portal and assigning a seat to the email. </p>",string,,,
2,Email,,,,1,How do I troubleshoot sales emails? ,,,,,"<p>Prospects attached to an open opp with a known MRR amount can call into our Support team but I think it's definitely beneficial for us to be able to understand and troubleshoot some of the core pieces of the sales emails.</p>
<p>More details on the wiki here:&nbsp;https://wiki.hubspotcentral.net/display/~adanielson/Support-+Sales+Email+Aliases+FAQ+and+Troubleshooting</p>",string,,,
2,Email,,,,2,What is an email alias and how do I add one to HubSpot?,,,,,"<p>Think of an alias as a ""nickname"" for your main email. The alias will share contacts, the inbox for incoming mail, and account settings with the primary inbox. The difference is that an alias has a different name than your primary email address. For example, if firstname@hubspot.com is my primary address. I could add sales@hubspot.com to my account as an alias, so I can send to contacts from the ""sales@"" address.</p>
<p>&nbsp;</p>
<p>There are two main ways to add an email alias:</p>
<p>1) Add the alias via Profile and Preferences in the ""Security"" section.</p>
<p><a href=""https://knowledge.hubspot.com/articles/kcs_article/email/how-can-i-add-an-email-alias-to-send-emails-in-the-crm-from-multiple-emails"">https://knowledge.hubspot.com/articles/kcs_article/email/how-can-i-add-an-email-alias-to-send-emails-in-the-crm-from-multiple-emails</a></p>
<p>2) Add the alias directly from your email client. Please note that we will only auto-detect aliases that are added in Gmail in HubSpot-- this doesn't happen for other email providers at this time.</p>
<p><a href=""https://support.google.com/a/answer/33327?hl=en"">https://support.google.com/a/answer/33327?hl=en</a></p>
<p>&nbsp;</p>
<p>Source: Wiki (<a href=""https://wiki.hubspotcentral.net/display/~adanielson/Support-+Sales+Email+Aliases+FAQ+and+Troubleshooting#Support-SalesEmailAliasesFAQandTroubleshooting-Whatisanemailalias?"">https://wiki.hubspotcentral.net/display/~adanielson/Support-+Sales+Email+Aliases+FAQ+and+Troubleshooting#Support-SalesEmailAliasesFAQandTroubleshooting-Whatisanemailalias?</a>)</p>",string,,,
2,Email,,,,3,Is there a send limit to Sales Emails?,,,,,"<p>You may occasionally notice that one of your sales emails fails with an error message on the contact timeline reading, This email wasn&rsquo;t sent because you&rsquo;ve hit your send limit. This indicates that you've hit the daily send limit when sending from your HubSpot account.</p>
<p>These sending limits vary based on email provider type:</p>
<ul>
<li>Gmail Free: 350 emails per day</li>
<li>Google Apps: 1000 emails per day</li>
<li>Outlook 365: 1000 emails per day</li>
<li>Generic inbox: 1000 emails per day</li>
</ul>
<p>HubSpot imposes these limits to ensure that you don't exceed limitations your email provider places upon the number of emails you are allowed to submit to your email server from a remote client. Additionally, we limit daily sends to avoid limitations that ESPs (Email Service Providers, like Gmail) impose upon outgoing and incoming mail to prevent spam.</p>
<p>&nbsp;</p>
<p>Source: <a href=""https://knowledge.hubspot.com/articles/kcs_article/email/why-was-my-sales-email-not-sent-due-to-a-send-limit?KBOpenTab"">Academy</a></p>",string,,,
2,Email,,,,4,What is the range of IP addresses your exchange server can expect traffic from for SMTP/IMAP?,,,,,"<p>The IP ranges are:</p>
<p>54.174.56.0/21&nbsp;</p>
<p>and</p>
<p>54.174.52.0/22</p>
<p>&nbsp;</p>
<p>Source: Evan Murphy from the Email Deliverability team.&nbsp;</p>",string,,,
2,Email,,,,5,How are the locations of email opens determined in HubSpot Sales?,,,,,"<div class=""section post-header"" style=""color: #555555 ; font-size: 16px"">
<p class=""last-updated"" style=""color: #999999 ; font-size: 0.8em"">Last updated:&nbsp;December 15, 2017</p>
</div>
<div id=""chatbot-container"" style=""color: #555555 ; font-size: 16px"">&nbsp;</div>
<div class=""article-key-wrapper"">
<h4 id=""available-for"" style=""color: #ffffff ; font-size: 1em"">AVAILABLE FOR:</h4>
<table class=""article-key"">
<tbody>
<tr>
<td style=""color: #9a9898"">Marketing:</td>
<td style=""color: #4a5c68""><a style=""color: #4a5c68 ; font-size: inherit ; text-decoration: none"" href=""https://knowledge.hubspot.com/articles/kcs_article/account/what-are-all-the-available-hubspot-products-and-add-ons"">N/A</a></td>
</tr>
<tr>
<td style=""color: #9a9898"">Sales:</td>
<td style=""color: #4a5c68""><a style=""color: #4a5c68 ; font-size: inherit ; text-decoration: none"" href=""https://knowledge.hubspot.com/articles/kcs_article/account/what-are-all-the-available-hubspot-products-and-add-ons"">Free, Starter, Professional</a></td>
</tr>
</tbody>
</table>
</div>
<div id=""post-body"" class=""section post-body"" style=""color: #555555 ; font-size: 16px"">
<p style=""color: inherit ; font-size: 1em"">We determine open locations based on the IP address associated with the open.&nbsp;The location given for a particular open can vary greatly, based on the nature of internet service providers (ISP) and IP addresses.</p>
<h3 id=""network-and-security-software"" style=""color: #555555 ; font-size: 1.5em"">Network and security software</h3>
<p style=""color: inherit ; font-size: 1em"">Each ISP&nbsp;can result in varying levels of IP location accuracy,&nbsp;whether on your</p>
<ul style=""color: #555555 ; font-size: inherit"">
<li style=""color: #555555 ; font-size: 1em"">Company network</li>
<li style=""color: #555555 ; font-size: 1em"">Home network&nbsp;</li>
<li style=""color: #555555 ; font-size: 1em"">VPN</li>
<li style=""color: #555555 ; font-size: 1em"">Mobile network</li>
</ul>
<p style=""color: inherit ; font-size: 1em"">The recipient's email security software can also have an impact on open locations. When an email is scanned for malicious material, the message content is loaded by a server which may be located in various cities around the world.&nbsp;</p>
<p class=""alert"" style=""color: inherit ; background-color: #fdf5d9 ; font-size: 1em""><strong>Please note:</strong>&nbsp;if HubSpot detects multiple IP address locations for one email tracker event (this can happen since HubSpot gets these events from a couple different sources) and they all don't match, HubSpot opts to show no location in your activity feed for an ""email open"" event instead of an erroneous one.</p>
<h3 id=""why-does-the-open-location-seem-inaccurate"" style=""color: #555555 ; font-size: 1.5em"">Why does the open location seem inaccurate?</h3>
<p style=""color: inherit ; font-size: 1em"">The location your email was opened in that's displayed in your&nbsp;<a style=""color: #1da1db ; font-size: inherit ; text-decoration: none"" href=""https://knowledge.hubspot.com/articles/kcs_article/email-notifications/how-do-real-time-notifications-work"">activity feed</a>&nbsp;is based on the IP address of the person opening it. There are a number of reasons that the location might seem strange, primarily related to the nature of IP addresses.</p>
<span class=""hs_cos_wrapper hs_cos_wrapper_meta_field hs_cos_wrapper_type_rich_text"">For example, if you send an email to someone in New York and it's listed as opened in California, it might be that:<br></span>
<ul style=""color: #555555 ; font-size: inherit"">
<li style=""color: #555555 ; font-size: 1em"">The person is temporarily in California.</li>
<li style=""color: #555555 ; font-size: 1em"">The person has forwarded the email to someone in California.</li>
<li style=""color: #555555 ; font-size: 1em"">The person is using technology that changes their IP address to a different location (e.g., VPN, dial-up internet, internet proxy).</li>
<li style=""color: #555555 ; font-size: 1em"">Their internet provider makes the request look like it's from California even though it's from New York.</li>
</ul>
<span class=""hs_cos_wrapper hs_cos_wrapper_meta_field hs_cos_wrapper_type_rich_text"">The information we use to show the location might be incorrect (IP addresses and the geographic information associated with them are constantly changing). We're constantly updating our database to make sure that we're using the most up-to-date information.<br></span>
<p style=""color: inherit ; font-size: 1em""><img style=""color: #555555"" src=""https://knowledge.hubspot.com/hubfs/Knowledge_Base_Images/Sidekick/stream-and-notifications/email-notification-with-location.png?t=1521570059594"" alt=""""></p>
<p style=""color: inherit ; font-size: 1em"">&nbsp;</p>
<h3 id=""why-are-there-multiple-open-locations"" style=""color: #555555 ; font-size: 1.5em"">Why are there multiple open locations?</h3>
<p style=""color: inherit ; font-size: 1em"">When an email contains multiple open locations as seen in the screenshot below, this can indicate one of a few things:</p>
<ol style=""color: #555555"">
<li style=""color: #555555 ; font-size: 1em"">The email has been forwarded, and someone in another location is viewing&nbsp;the email.</li>
<li style=""color: #555555 ; font-size: 1em"">The recipient has changed locations.</li>
</ol>
<p style=""color: inherit ; font-size: 1em""><img style=""color: #555555"" src=""https://knowledge.hubspot.com/hubfs/Knowledge_Base_Images/Sidekick/stream-and-notifications/refresh-multiple-locations-opens.png?t=1521570059594"" alt=""""></p>
<p style=""color: inherit ; font-size: 1em"">&nbsp;</p>
<p style=""color: inherit ; font-size: 1em"">&nbsp;</p>
<p style=""color: inherit ; font-size: 1em"">Source: <a href=""https://knowledge.hubspot.com/articles/kcs_article/email-notifications/how-are-open-locations-gathered"">Academy - How Are Open Location Gathered</a></p>
</div>",string,,,
2,Email,,,,6,IMAP/SMTP Connected Inbox for HubSpot Sales,,,,,"<p><strong>What is it?</strong></p>
<p>A connected inbox is a critical piece of technology that adds a ton of value to HubSpot CRM and HubSpot Sales. A connected inbox is what allows users to:</p>
<ul>
<li>Send email from the CRM through their inbox</li>
<li>Keep track of replies in the CRM</li>
<li>Enroll contacts in a sequence</li>
</ul>
<p>Previously, only G-Suite, Gmail, and Office 365 users were able to connect their inbox to HubSpot. This left 43% of our CRM signups without the ability to connect their inbox.</p>
<p>The latest update allows ALL users to connect their inbox to HubSpot using their email server&rsquo;s SMTP/IMAP -- a super important update to those users who are not using G-Suite, Gmail, or Office 365.</p>
<p><strong>Why does it matter?</strong></p>
<p>A connected inbox comes with a couple benefits:</p>
<p>First, we can use the user&rsquo;s email server to send an email. This helps improve deliverability.</p>
<p>Second, a connected inbox allows us read the user&rsquo;s incoming mail. This helps us do some cool stuff like save replies to the contact&rsquo;s timeline in HubSpot CRM or unenroll contacts from a sequence when they reply to an email in that sequence.</p>
<p><strong>How does it work?</strong></p>
<p>To connect your inbox with HubSpot Sales using IMAP, go to Settings > Sales > Email Integrations.</p>
<p>Towards the center of the page, click Add an email account.</p>
<p>On the next screen, select Other (IMAP).</p>
<p>Enter your email address and password for your email account. In most cases, HubSpot will be able to detect your server&rsquo;s IMAP and SMTP settings via your email address and password. If not, click Advanced Options to enter your server&rsquo;s information. You can learn more about that process here.</p>
<p>Click Connect your account.</p>
<p>Review terms and conditions, and click Accept and connect. Once your account has been connected, click Done to return to your list of connected emails.</p>
<p><img src=""https://lh4.googleusercontent.com/yApV5pItDpwQnb1tc6X7pfGaVhat18avFAeNmX1oZeOFvB2uwcPfpV8jQeJ8HE6xUHZUhCEkQ18T8dks5XaYHVJgsYUEgCdW2rfnqTupqXkSL1EwRI3sD9F45Nds3_mPPPYCHWX4"" alt=""IMAPgif.gif""></p>
<p><strong>Who gets it?</strong></p>
<p>This update is currently in beta. All HubSpot Sales and CRM users will be able to access this feature as outlined above while we do our final bit of testing.</p>
<p><strong>Helpful Resources&hellip;</strong></p>
<ul>
<li><a href=""https://wiki.hubspotcentral.net/pages/viewpage.action?pageId=110247036"">A New Type of Connected Inbox: SMTP/IMAP</a> (Wiki Post)</li>
<li><a href=""https://wiki.hubspotcentral.net/display/Support/IMAP+SMTP+Connected+Inbox+rollout+update+-+July+2017"">IMAP SMTP Connected Inbox rollout update - July 2017</a> (Wiki Post)</li>
<li><a href=""https://knowledge.hubspot.com/articles/kcs_article/email-notifications/how-can-i-connect-my-inbox-with-hubspot-sales-using-imap"">How can I connect my inbox with HubSpot Sales using IMAP? (Knowledge Doc)</a></li>
<li><a href=""https://knowledge.hubspot.com/articles/kcs_article/email-notifications/how-can-i-find-my-email-servers-imap-information"">How can I find my email server's IMAP and SMTP information? </a><a href=""https://knowledge.hubspot.com/articles/kcs_article/email-notifications/how-can-i-connect-my-inbox-with-hubspot-sales-using-imap"">(Knowledge Doc)</a></li>
<li><a href=""https://knowledge.hubspot.com/articles/kcs_article/email-notifications/can-i-connect-an-inbox-that-uses-activesync-to-hubspot"">Can I connect an inbox that uses ActiveSync to HubSpot? </a><a href=""https://knowledge.hubspot.com/articles/kcs_article/email-notifications/how-can-i-connect-my-inbox-with-hubspot-sales-using-imap"">(Knowledge Doc)</a></li>
<li><a href=""https://knowledge.hubspot.com/articles/kcs_article/email-notifications/how-do-i-connect-my-email-inbox-to-hubspot-if-i-use-two-factor-authentication"">How do I connect my email inbox to HubSpot if I use two-factor authentication? </a><a href=""https://knowledge.hubspot.com/articles/kcs_article/email-notifications/how-can-i-connect-my-inbox-with-hubspot-sales-using-imap"">(Knowledge Doc)</a></li>
</ul>
<p>Source: <a href=""https://groups.google.com/a/hubspot.com/d/msg/productnotifications-groups/5ReDkteJazM/INjZakpoCgAJ"">Product Notifications</a></p>",string,,,
2,Email,,,,7,If you log an email to the CRM from your email client with an attachment will the attachment get logged into HubSpot automatically?,,,,,"<p>No HubSpot will only parse and store the body of the email and will not store any attachments automatically. &nbsp;
</p>
<p>source: Anmohl Mehta
</p>",string,,,
